14:18:48: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 52] Logger initialized
14:18:55: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (4.285714285714286, 2.857142857142857, 0.14285714285714285)
14:18:55: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (4.0, 1.3333333333333333, 0.13333333333333333)
14:18:56: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (3.75, 0.0, 0.125)
14:18:56: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (2.3529411764705883, 0.0, 0.11764705882352941)
14:18:57: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (1.1111111111111112, 0.0, 0.1111111111111111)
14:18:57: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 0.0, 0.10526315789473684)
14:18:58: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 1.0, 0.1)
14:18:58: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 1.9047619047619047, 0.09523809523809523)
14:18:59: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 2.727272727272727, 0.09090909090909091)
14:18:59: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.8695652173913043, 2.608695652173913, 0.08695652173913043)
14:19:00: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (1.6666666666666667, 2.5, 0.08333333333333333)
14:19:00: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (2.4, 2.4, 0.08)
14:19:01: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (2.3076923076923075, 1.5384615384615385, 0.07692307692307693)
14:19:01: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (2.2222222222222223, 0.7407407407407407, 0.07407407407407407)
14:19:02: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (2.142857142857143, 0.0, 0.07142857142857142)
14:19:02: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (1.3793103448275863, 0.0, 0.06896551724137931)
14:19:03: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.6666666666666666, 0.0, 0.06666666666666667)
14:19:03: [INFO] [C:\Users\tanju\Desktop\WARG\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 83] Average Velocity: (0.0, 0.0, 0.06451612903225806)
